epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,460.13,2.06213,3.48407,1.14342,0.46657,0.28205,0.24533,0.10903,1.96048,4.26628,1.03015,7.5e-05,7.5e-05,7.5e-05
2,845.56,1.69703,1.75799,1.01361,0.56889,0.60873,0.63661,0.34528,1.62438,4.10116,0.99013,0.000161159,0.000161159,0.000161159
3,1222.82,1.53513,1.30891,0.98301,0.52654,0.78777,0.70456,0.38738,1.5053,2.18747,0.97707,0.000245875,0.000245875,0.000245875
4,1611.47,1.48975,1.15215,0.96573,0.65418,0.80509,0.73877,0.39782,1.57437,1.36676,0.98958,0.000329147,0.000329147,0.000329147
5,1671.42,1.38107,1.02516,0.96936,0.69601,0.74118,0.73404,0.4194,1.49518,1.1462,0.98151,0.000410975,0.000410975,0.000410975
6,2582.01,1.42802,1.01583,0.94641,0.70271,0.72242,0.75179,0.41622,1.51744,1.15201,0.99354,0.000491359,0.000491359,0.000491359
7,2831.4,1.35007,0.95721,0.95433,0.69959,0.72657,0.73116,0.4136,1.46887,1.08037,0.99018,0.0005703,0.0005703,0.0005703
8,2946.34,1.39101,0.92066,0.94811,0.70269,0.78247,0.77393,0.45219,1.41738,1.18977,0.97448,0.000647797,0.000647797,0.000647797
9,2996.55,1.3023,0.87554,0.93188,0.76446,0.76311,0.79341,0.45127,1.42349,1.09619,0.97352,0.00072385,0.00072385,0.00072385
10,3026.74,1.26631,0.86869,0.91746,0.73272,0.78108,0.78259,0.45008,1.37504,1.03336,0.96603,0.000798459,0.000798459,0.000798459
11,3094.99,1.36892,0.85088,0.9357,0.70971,0.80581,0.76196,0.43432,1.42275,1.06571,0.96272,0.000871625,0.000871625,0.000871625
12,3861.09,1.41012,0.87047,0.93499,0.73067,0.79024,0.75668,0.41873,1.39754,1.0641,0.9657,0.000943347,0.000943347,0.000943347
13,4313.5,1.39262,0.84836,0.93625,0.69332,0.83097,0.79496,0.43655,1.37117,0.93584,0.96472,0.00101362,0.00101362,0.00101362
14,4401.92,1.24505,0.78539,0.93495,0.69332,0.83097,0.79496,0.43655,1.37117,0.93584,0.96472,0.00108246,0.00108246,0.00108246
15,4668.49,1.36572,0.90846,0.92111,0.85784,0.79395,0.83411,0.47883,1.39979,0.84547,0.96208,0.00110563,0.00110563,0.00110563
16,4694.27,1.39479,0.84894,0.93365,0.79444,0.77226,0.8385,0.48351,1.372,0.86317,0.96289,0.00109531,0.00109531,0.00109531
17,4733.09,1.28499,0.77537,0.92191,0.74516,0.7802,0.85454,0.5067,1.36745,0.81877,0.96177,0.001085,0.001085,0.001085
18,4760.04,1.31478,0.7932,0.9154,0.8029,0.78204,0.84018,0.4793,1.38897,0.79048,0.96392,0.00107469,0.00107469,0.00107469
19,5380.36,1.29215,0.80578,0.92726,0.82063,0.83377,0.8425,0.48727,1.36078,0.77327,0.95012,0.00106437,0.00106437,0.00106437
20,5424.65,1.29888,0.78461,0.93129,0.84374,0.83971,0.87512,0.51726,1.32623,0.76486,0.93638,0.00105406,0.00105406,0.00105406
21,5461.46,1.29265,0.77074,0.92972,0.81493,0.87535,0.86535,0.51766,1.34458,0.72506,0.94533,0.00104375,0.00104375,0.00104375
22,5489.71,1.21368,0.71595,0.91836,0.81493,0.87535,0.86535,0.51766,1.34458,0.72506,0.94533,0.00103344,0.00103344,0.00103344
23,5677.82,1.2128,0.71986,0.9137,0.82231,0.88818,0.87936,0.53703,1.27851,0.70466,0.93703,0.00102312,0.00102312,0.00102312
24,5733.04,1.242,0.73219,0.92667,0.84206,0.86263,0.88376,0.53226,1.30621,0.71021,0.9351,0.00101281,0.00101281,0.00101281
25,5785.53,1.28021,0.73135,0.91957,0.84888,0.84497,0.87434,0.50194,1.33657,0.7442,0.93621,0.0010025,0.0010025,0.0010025
26,5818.02,1.22287,0.70969,0.92009,0.80159,0.86724,0.87248,0.50551,1.33691,0.74342,0.93637,0.000992188,0.000992188,0.000992188
27,5856.02,1.25575,0.70959,0.90753,0.80347,0.89443,0.8816,0.53371,1.33212,0.70031,0.93759,0.000981875,0.000981875,0.000981875
28,5891.45,1.25113,0.70291,0.91298,0.8619,0.88354,0.888,0.54945,1.29753,0.67876,0.93783,0.000971562,0.000971562,0.000971562
29,5969.08,1.2057,0.67235,0.92359,0.9034,0.86103,0.8875,0.53911,1.31047,0.6756,0.94075,0.00096125,0.00096125,0.00096125
30,6050.85,1.24918,0.68898,0.90455,0.9034,0.86103,0.8875,0.53911,1.31047,0.6756,0.94075,0.000950937,0.000950937,0.000950937
31,6530.96,1.18373,0.66489,0.90112,0.86088,0.88736,0.89554,0.53785,1.29951,0.66409,0.93349,0.000940625,0.000940625,0.000940625
32,6615.71,1.19325,0.66485,0.90353,0.88499,0.85323,0.90347,0.54442,1.29432,0.67432,0.93597,0.000930313,0.000930313,0.000930313
33,6647.87,1.15206,0.64479,0.90036,0.9094,0.83921,0.89874,0.54929,1.2842,0.68328,0.93865,0.00092,0.00092,0.00092
34,7632.59,1.18868,0.66214,0.89225,0.84881,0.90472,0.90434,0.54192,1.29729,0.67498,0.93761,0.000909688,0.000909688,0.000909688
35,7761.92,1.15711,0.65604,0.88667,0.86706,0.88568,0.90716,0.53669,1.32125,0.67278,0.94031,0.000899375,0.000899375,0.000899375
36,7809.18,1.18541,0.69029,0.91307,0.89626,0.85829,0.91145,0.54576,1.25851,0.66557,0.93266,0.000889062,0.000889062,0.000889062
37,7860.07,1.17675,0.66128,0.89566,0.9224,0.86777,0.9067,0.54585,1.30185,0.64861,0.93446,0.00087875,0.00087875,0.00087875
38,7888.58,1.15864,0.63934,0.88281,0.9224,0.86777,0.9067,0.54585,1.30185,0.64861,0.93446,0.000868437,0.000868437,0.000868437
39,7935.99,1.13811,0.62152,0.87745,0.90983,0.85055,0.9031,0.53761,1.27172,0.64037,0.93319,0.000858125,0.000858125,0.000858125
40,7980.52,1.1177,0.6531,0.91436,0.80909,0.91404,0.8986,0.53676,1.2587,0.65301,0.92497,0.000847813,0.000847813,0.000847813
41,8035.31,1.13318,0.62357,0.88261,0.82037,0.89342,0.88427,0.5418,1.23316,0.64887,0.92168,0.0008375,0.0008375,0.0008375
42,8082.26,1.07966,0.60771,0.89198,0.83821,0.84507,0.87397,0.54132,1.26712,0.65028,0.92729,0.000827187,0.000827187,0.000827187
43,8118.58,1.09751,0.61509,0.88575,0.88398,0.83632,0.89481,0.53822,1.27093,0.64646,0.93625,0.000816875,0.000816875,0.000816875
44,8209.93,1.08287,0.59783,0.87046,0.86716,0.88281,0.90283,0.53793,1.27023,0.64695,0.93562,0.000806562,0.000806562,0.000806562
45,8270.37,1.12282,0.61921,0.87796,0.85889,0.89346,0.89383,0.5536,1.207,0.64419,0.92262,0.00079625,0.00079625,0.00079625
46,8326.82,1.0496,0.58012,0.87838,0.85889,0.89346,0.89383,0.5536,1.207,0.64419,0.92262,0.000785938,0.000785938,0.000785938
47,8365.88,1.06838,0.61416,0.89077,0.88783,0.87824,0.8959,0.54073,1.22059,0.64378,0.92971,0.000775625,0.000775625,0.000775625
48,8403.09,1.02764,0.57257,0.87463,0.86958,0.87878,0.88418,0.51595,1.29893,0.66383,0.95479,0.000765313,0.000765313,0.000765313
49,8468.08,1.10589,0.5883,0.87744,0.83856,0.88614,0.88356,0.51937,1.27479,0.66042,0.94613,0.000755,0.000755,0.000755
50,8523.09,1.10445,0.59872,0.8653,0.86853,0.87673,0.88936,0.53744,1.27891,0.65454,0.9331,0.000744688,0.000744688,0.000744688
51,8589.05,1.08333,0.58368,0.87048,0.8816,0.87553,0.88761,0.53525,1.2519,0.64012,0.93427,0.000734375,0.000734375,0.000734375
52,8634.62,1.08066,0.59147,0.87883,0.9064,0.87205,0.89134,0.53669,1.25227,0.64062,0.94108,0.000724062,0.000724062,0.000724062
53,8679.24,1.05282,0.57731,0.8655,0.89801,0.87147,0.89537,0.5361,1.27003,0.64598,0.94682,0.00071375,0.00071375,0.00071375
54,8714.37,1.07312,0.5843,0.88114,0.89801,0.87147,0.89537,0.5361,1.27003,0.64598,0.94682,0.000703437,0.000703437,0.000703437
55,8754.08,1.00689,0.5607,0.87506,0.92388,0.8475,0.89438,0.52372,1.25226,0.65531,0.94339,0.000693125,0.000693125,0.000693125
56,8788.51,1.01128,0.56263,0.87578,0.8949,0.85702,0.89092,0.53215,1.27108,0.64424,0.93594,0.000682813,0.000682813,0.000682813
57,8958.44,1.0901,0.58213,0.87084,0.90404,0.86391,0.89054,0.53205,1.26063,0.62419,0.93333,0.0006725,0.0006725,0.0006725
58,8998.42,1.0707,0.56904,0.86557,0.90835,0.89011,0.891,0.5388,1.23663,0.62926,0.93751,0.000662188,0.000662188,0.000662188
59,9065.57,1.02295,0.57913,0.87192,0.89254,0.88181,0.89907,0.51547,1.27033,0.6359,0.93786,0.000651875,0.000651875,0.000651875
60,9098.92,0.99059,0.55371,0.87215,0.85172,0.89729,0.89815,0.51967,1.26084,0.62175,0.93539,0.000641562,0.000641562,0.000641562
61,9143.18,0.98346,0.5306,0.8635,0.82901,0.86255,0.88082,0.52776,1.21547,0.62755,0.93634,0.00063125,0.00063125,0.00063125
62,9204.54,0.98738,0.5375,0.87163,0.82901,0.86255,0.88082,0.52776,1.21547,0.62755,0.93634,0.000620938,0.000620938,0.000620938
63,9265.16,1.00134,0.53665,0.86109,0.86253,0.83433,0.87729,0.52524,1.24394,0.6288,0.94407,0.000610625,0.000610625,0.000610625
64,9335.99,0.97104,0.54083,0.86496,0.88851,0.874,0.89364,0.52474,1.27053,0.61705,0.94973,0.000600313,0.000600313,0.000600313
65,9385.39,0.9803,0.53249,0.86833,0.87859,0.87398,0.8893,0.53228,1.23458,0.61114,0.94736,0.00059,0.00059,0.00059
66,9469.71,1.01607,0.54282,0.8581,0.90091,0.82788,0.90087,0.53769,1.21671,0.60569,0.93974,0.000579688,0.000579688,0.000579688
67,10503.5,1.00458,0.53359,0.86082,0.87217,0.87809,0.91388,0.54927,1.24268,0.60033,0.93297,0.000569375,0.000569375,0.000569375
68,10571,1.05477,0.54785,0.85641,0.88282,0.87251,0.91606,0.55891,1.22056,0.59339,0.93033,0.000559062,0.000559062,0.000559062
69,10876.3,0.99157,0.53238,0.8621,0.88275,0.86698,0.90444,0.54865,1.21567,0.6144,0.93378,0.00054875,0.00054875,0.00054875
70,12515.4,1.05724,0.5464,0.86145,0.88275,0.86698,0.90444,0.54865,1.21567,0.6144,0.93378,0.000538438,0.000538438,0.000538438
71,13572.6,1.00868,0.53284,0.85378,0.86698,0.88617,0.90499,0.54322,1.22622,0.60987,0.93965,0.000528125,0.000528125,0.000528125
72,13686.3,0.96392,0.51115,0.85008,0.8547,0.88153,0.90319,0.53693,1.23331,0.60048,0.94263,0.000517813,0.000517813,0.000517813
73,13737.8,0.95149,0.51333,0.85447,0.87547,0.87116,0.90864,0.55085,1.20641,0.59279,0.94135,0.0005075,0.0005075,0.0005075
74,13786.2,0.93118,0.50659,0.8547,0.8764,0.86789,0.89187,0.54729,1.20715,0.60417,0.94025,0.000497188,0.000497188,0.000497188
75,13913.8,0.96117,0.50413,0.83915,0.88333,0.87164,0.89378,0.54749,1.19859,0.59169,0.93539,0.000486875,0.000486875,0.000486875
76,14036.4,1.01222,0.53642,0.86372,0.86701,0.89,0.90529,0.5417,1.24284,0.60564,0.93709,0.000476562,0.000476562,0.000476562
77,14581,1.00469,0.5332,0.8511,0.83806,0.86099,0.90244,0.5429,1.24354,0.61155,0.94231,0.00046625,0.00046625,0.00046625
78,14832.6,0.95399,0.52098,0.85465,0.83806,0.86099,0.90244,0.5429,1.24354,0.61155,0.94231,0.000455937,0.000455937,0.000455937
79,14878.3,0.96106,0.50249,0.84224,0.85135,0.84928,0.89825,0.53578,1.20354,0.60147,0.94309,0.000445625,0.000445625,0.000445625
80,14936.9,0.95108,0.50445,0.84501,0.86344,0.86761,0.89932,0.53842,1.20502,0.60696,0.94275,0.000435312,0.000435312,0.000435312
81,15123.8,0.94339,0.51341,0.85197,0.85541,0.89558,0.91455,0.5448,1.21531,0.59732,0.94328,0.000425,0.000425,0.000425
82,16158.3,0.87325,0.48848,0.84375,0.86373,0.87924,0.90957,0.53556,1.21129,0.58507,0.94413,0.000414688,0.000414688,0.000414688
83,16217.8,0.96422,0.50949,0.8356,0.89922,0.86055,0.90655,0.53986,1.19621,0.58405,0.94151,0.000404375,0.000404375,0.000404375
84,16281.6,0.93712,0.4899,0.84643,0.90952,0.88751,0.9083,0.53956,1.20259,0.58225,0.93975,0.000394063,0.000394063,0.000394063
85,16391.6,0.89722,0.48122,0.84856,0.92065,0.88254,0.90398,0.53988,1.21284,0.58372,0.93811,0.00038375,0.00038375,0.00038375
86,16435.2,0.91984,0.49126,0.8532,0.92065,0.88254,0.90398,0.53988,1.21284,0.58372,0.93811,0.000373437,0.000373437,0.000373437
87,16513.1,0.90325,0.48241,0.84095,0.88104,0.85542,0.88247,0.53662,1.20184,0.58274,0.94218,0.000363125,0.000363125,0.000363125
88,16600.7,0.94214,0.49104,0.84386,0.89463,0.90006,0.90549,0.54737,1.1882,0.56786,0.94523,0.000352812,0.000352812,0.000352812
89,16663.8,0.89314,0.4839,0.84431,0.90075,0.88701,0.90999,0.55132,1.19819,0.57094,0.9488,0.0003425,0.0003425,0.0003425
90,16784,0.90789,0.47894,0.84872,0.88297,0.8945,0.90634,0.54033,1.21169,0.58655,0.94502,0.000332187,0.000332187,0.000332187
91,16917.1,0.89553,0.48888,0.84544,0.88712,0.87477,0.89888,0.54905,1.19972,0.60033,0.93374,0.000321875,0.000321875,0.000321875
92,16964.3,0.92781,0.49323,0.82978,0.86875,0.85913,0.88629,0.55803,1.19234,0.60485,0.93225,0.000311563,0.000311563,0.000311563
93,17020.5,0.85306,0.46775,0.83937,0.88022,0.88121,0.90422,0.55729,1.18657,0.60058,0.9317,0.00030125,0.00030125,0.00030125
